USER_KEY,USER_EMAIL,USER_NAME,USER_ADDRESS,IP_ADDRESS,TRANSACTION_REFUSED,CUSTOMER_FRAUDED_ONCE
827,EMAIL3@GMAIL.COM,NAME034,ADDRESS 71,127.0.0.20,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.49,0,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.50,0,1
735,EMAIL2@HOTMAIL.COM,NAME027,ADDRESS 51,127.0.0.67,0,0
735,EMAIL2@HOTMAIL.COM,NAME026,ADDRESS 53,127.0.0.67,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.39,0,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.49,0,1
735,EMAIL2@HOTMAIL.COM,NAME021,ADDRESS 58,127.0.0.67,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.15,1,1
735,EMAIL2@HOTMAIL.COM,NAME025,ADDRESS 51,127.0.0.67,0,0
1800,EMAIL4@GMAIL.COM,NAME011,ADDRESS 68,127.0.0.66,1,1
1252,EMAIL2@GMAIL.COM,NAME059,ADDRESS 41,127.0.0.42,0,1
939,EMAIL1@ORANGE.FR,NAME035,ADDRESS 16,127.0.0.12,0,0
735,EMAIL2@HOTMAIL.COM,NAME020,ADDRESS 48,127.0.0.67,0,0
1696,EMAIL1@QQ.COM,NAME046,ADDRESS 45,127.0.0.10,1,1
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.72,1,0
735,EMAIL2@HOTMAIL.COM,NAME029,ADDRESS 54,127.0.0.68,0,0
1800,EMAIL4@GMAIL.COM,NAME001,ADDRESS 47,127.0.0.25,1,1
1800,EMAIL4@GMAIL.COM,NAME048,ADDRESS 5,127.0.0.37,1,1
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.41,0,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.29,0,0
1641,EMAIL2@QQ.COM,NAME023,ADDRESS 7,127.0.0.55,1,1
1696,EMAIL1@QQ.COM,NAME058,ADDRESS 12,127.0.0.16,1,1
1800,EMAIL4@GMAIL.COM,NAME048,ADDRESS 9,127.0.0.37,1,1
1696,EMAIL1@QQ.COM,NAME038,ADDRESS 67,127.0.0.14,0,1
1252,EMAIL2@GMAIL.COM,NAME014,ADDRESS 29,127.0.0.42,1,1
1641,EMAIL2@QQ.COM,NAME018,ADDRESS 1,127.0.0.55,1,1
4052,EMAIL1@GMAIL.COM,NAME005,ADDRESS 31,127.0.0.22,0,1
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.70,1,0
939,EMAIL1@ORANGE.FR,NAME036,ADDRESS 17,127.0.0.12,0,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.80,0,0
1800,EMAIL4@GMAIL.COM,NAME001,ADDRESS 47,127.0.0.74,1,1
735,EMAIL2@HOTMAIL.COM,NAME030,ADDRESS 52,127.0.0.28,0,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.72,0,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.70,1,0
1252,EMAIL2@GMAIL.COM,NAME060,ADDRESS 19,127.0.0.43,0,1
1800,EMAIL4@GMAIL.COM,NAME011,ADDRESS 68,127.0.0.69,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.45,0,1
1800,EMAIL4@GMAIL.COM,NAME001,ADDRESS 47,127.0.0.74,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.61,1,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.61,1,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.31,1,0
4395,EMAIL6@GMAIL.COM,NAME015,ADDRESS 14,127.0.0.38,0,1
735,EMAIL2@HOTMAIL.COM,NAME026,ADDRESS 57,127.0.0.67,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.49,0,1
1800,EMAIL4@GMAIL.COM,NAME048,ADDRESS 9,127.0.0.37,1,1
1800,EMAIL4@GMAIL.COM,NAME048,ADDRESS 9,127.0.0.37,1,1
1800,EMAIL4@GMAIL.COM,NAME064,ADDRESS 59,127.0.0.34,1,1
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.72,1,0
1641,EMAIL2@QQ.COM,NAME072,ADDRESS 43,127.0.0.60,1,1
1800,EMAIL4@GMAIL.COM,NAME048,ADDRESS 5,127.0.0.37,1,1
1252,EMAIL2@GMAIL.COM,NAME059,ADDRESS 41,127.0.0.42,0,1
1252,EMAIL2@GMAIL.COM,NAME066,ADDRESS 27,127.0.0.33,1,1
4108,EMAIL3@HOTMAIL.COM,NAME054,ADDRESS 66,127.0.0.57,1,0
1252,EMAIL2@GMAIL.COM,NAME045,ADDRESS 21,127.0.0.43,1,1
2064,EMAIL5@GMAIL.COM,NAME071,ADDRESS 62,127.0.0.35,1,0
906,EMAIL1@YAHOO.COM,NAME044,ADDRESS 40,127.0.0.36,1,0
1696,EMAIL1@QQ.COM,NAME038,ADDRESS 67,127.0.0.14,0,1
735,EMAIL2@HOTMAIL.COM,NAME026,ADDRESS 54,127.0.0.67,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.47,1,1
735,EMAIL2@HOTMAIL.COM,NAME028,ADDRESS 55,127.0.0.67,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.45,1,1
735,EMAIL2@HOTMAIL.COM,NAME026,ADDRESS 53,127.0.0.67,0,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.41,0,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.71,1,0
1252,EMAIL2@GMAIL.COM,NAME061,ADDRESS 2,127.0.0.43,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.40,1,1
4052,EMAIL1@GMAIL.COM,NAME005,ADDRESS 31,127.0.0.22,0,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.15,0,1
1252,EMAIL2@GMAIL.COM,NAME055,ADDRESS 24,127.0.0.43,1,1
1252,EMAIL2@GMAIL.COM,NAME007,ADDRESS 39,127.0.0.43,1,1
